,Title,Topic 1,Topic 2,X.M.._twitter_id
744626,I'm going to have to disagree https://t.co/qJFIK2igTH,6,,9.00492E+17
677177,I want chocolate,6,,8.998E+17
542321,I'm not allowing nobody to get under my skin,6,,8.98387E+17
1893545,this dude liveðŸ˜‚ðŸ¤˜ðŸ¼ https://t.co/VOxH8LvLan,6,,8.90275E+17
971041,Hurricane https://t.co/Mx9P1kuNqQ,1,,9.02141E+17
623897,ðŸ¤ https://t.co/tcBaEuFjZu,6,,8.99304E+17
901503,It's 2:54 am and I just got a tornado warning. I just want to sleep and not go into the closet/shelter rn!!! #HurricaneHarvery,1,,9.01715E+17
1901624,&amp; school is just around the corner ðŸ˜©,6,,8.90631E+17
1322601,Hola https://t.co/zfegfiHhQJ,6,,9.04898E+17
609067,@mattlanza memories of the BLOWTORCH Summer of 2011 https://t.co/SsBqnCDXou,6,,8.99094E+17
479213,Imagine all these mothers and grandmothers with maga in their headlines being grabbed by the pussy by trump.,2,,8.97832E+17
417694,"Hoy es uno de esos dÃ­as en los que provoca quedarse en la casa, mirando fotos, videos, mÃºsica y a llorar se ha dicho..",6,,8.97218E+17
761704,just give a nigga some credit,6,,9.00629E+17
781986,Nothing but facts https://t.co/Of035wYBWu,6,,9.0085E+17
836977,ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­they gone kill our ass. https://t.co/HCpszPgtN8,6,,9.01274E+17
77441,Maybe https://t.co/z2aHiT9xFe,6,,8.93669E+17
1697221,This scar on my face gotta go!!!!,6,,9.08752E+17
1681771,@HanksKendyl @ecaughlaw @SCOTUSPlaces @EllieMargolis @djsziff @5thCircAppeals @JohnCornyn @smmarotta @KVPTexas S-ha-kLaw,2,,9.08538E+17
396690,Don't delete it now ðŸ˜´,6,,8.96968E+17
1209648,My UNFOLLOW GAME been real ðŸ’ª this past week. I never knew people could annoy you so much. ðŸ˜’,6,,9.03815E+17
1267048,Houston Chronicle Cite Editorial mentions Willow Waterhole in context of rebuilding after Harvey  https://t.co/KFr70clLR1,1,,9.04399E+17
1291034,@camrynecarter lol I'll be back before you know it ðŸ˜‚,6,,9.04567E+17
1143182,Txst and pv got all the bad ass females but you gotta watch some of themðŸ”¥,6,,9.03292E+17
1354609,@rochelle_vill @caroxgarcia18 fucking Chelly lmao I bet you can pronounce Cancun tho,6,,9.05213E+17
879306,Please be careful &amp; avoid driving if possible https://t.co/M7Vp9NzX6z,1,,9.01625E+17
693434,Hello my friends! I'm happy to release my self published short story  Read my new eBook THEâ€¦ https://t.co/S5jNzECRlP,6,,9.00007E+17
1752422,"@MissJonnnay I don't need a ticket, I'm gonna sneak in.",4,,9.09374E+17
1552187,if you retweet every compliment somebody gives you when you post a pic is .. insecure ðŸ¤·ðŸ¾â€â™‚ï¸,6,,9.07242E+17
147703,wrist water no faucet,6,,8.94436E+17
1162511,"The comeback will be amazing. #BounceBackSZN #ComebackSZN Again, thank you to everyone who has reached out as well! Y'all kee",4,,9.03429E+17
1217414,I'm bored as fuck ðŸ˜‚ðŸ˜‚ðŸ˜‚,6,,9.03862E+17
803831,Nah I'm bout to try and sleep now crying usually does the trick. https://t.co/BUkkN7imv2,6,,9.01062E+17
1898369,"orders a pretzel dog from sonic, gets the pretzel but no dog with it @lauren_grover98",6,,8.90427E+17
1315498,"Don't wait for me.. wait for your nigga, he the one gone come in there and watch them movies witcha",6,,9.04849E+17
804013,@CTG_CEOGEH @AnaSGrey Totally agree. 4 girls bullied my son terribly and school told me girls don't bully boys. I told admin o,6,,9.01064E+17
2080,I'm hurt af https://t.co/JPJp4wheTJ,6,,8.92914E+17
1272346,I'm guessing she ain't follow you back ðŸ™ƒ https://t.co/CFqlEWNZoX,6,,9.04442E+17
295631,ðŸ˜‚thank you ðŸ˜˜ https://t.co/ktDDUZMUtH,6,,8.95927E+17
