,Text,Topic 1,Topic 2,Spanish?,X.M.._twitter_id
1456900,ALL CORE!! Transforming into a MuscleHead! ðŸ˜¤ðŸ’ªðŸ¾ðŸ’¯ Shoutout to my Coach: 8miletwin! It's all a Dayâ€¦ https://t.co/OKK7uZofsH ,6,,,9.06229E+17
1006894,"#USGS08114000 - Brazos Rv at Richmond, TX Heavy Rain (0.44 in/hr) over the last 15 minutes https://t.co/QpX8gl4ZBQ ",6,5,,9.02326E+17
298624,"Alguien me ha dicho que la soledad ðŸŽ¼se esconde tras tus ojos,ðŸŽ¶Feliz cumpleaÃ±os genio, #CeratiEterno ",6,,1,8.96009E+17
1565034,"""Ã‰s boa"" https://t.co/qAkdPLDfBm ",6,,,9.07365E+17
1734010,Just posted a photo @ DCH - Dominion Chapel Houston https://t.co/2B3lKPcLOK ,6,,,9.09181E+17
1140633,If any shelters need kid friendly art activities we've got some #artists ready! #HoustonStrong Em: yahou@yahouston.org 713.520.9267 https://t.co/Dg9jrwgv8o ,1,,,9.0327E+17
43172,of course i would get a flat tire while trying to do something nice for someone else ,6,,,8.9331E+17
857982,ugggghhhhhhhhhhhhh ðŸ˜ https://t.co/3NpwQpqbgq ,6,,,9.01491E+17
218477,nope. i text ppl daily tho https://t.co/18pw1nq0gj ,6,,,8.95145E+17
1521046,"woo, Texans some trash. ",6,,,9.06942E+17
165860,Cultivate compassion for the person you are today. ,6,,,8.94673E+17
1732546,@NatalieGonz_ @NatalieGonz_ shii u kno it's finna go dinee omw ,6,,,9.09166E+17
1027621,I need to be surrounded by people that are going to be supportive of my drinking desire during this time of boredom ,6,,,9.02408E+17
1233039,That right shit is weak. https://t.co/okJVr45hPu ,6,,,9.0406E+17
1687165,I can't wait to be rich https://t.co/tu9uMM7VYM ,6,,,9.08616E+17
145262,@Jo_swayy5 @OnMyGrindMode12 Low-key I could be a rapper ðŸ˜Ž ,6,,,8.94418E+17
471334,@Xavii_sanchez .35Â¢ to round off to the dollar ðŸ¤£ ,6,,,8.9769E+17
272992,Ay que actuar como que todo esta bien. Aunque tenga mucho dolor en mi alma. ,6,,1,8.95736E+17
